condition	Mar_OO	Apr_OO	May_lateOO	May_EE	May_ME	Jun_Lar
TRINITY_DN54186_c0_g1_i1	0	0	0	4	0	0
TRINITY_DN13582_c0_g1_i19	1.63	0	0	0	0	0
TRINITY_DN45103_c0_g1_i1	0	0	0	0	0	0
TRINITY_DN13582_c0_g1_i20	0	0	0	0	1.75	1.56
TRINITY_DN13582_c0_g1_i15	10.08	6	4	0	1.57	3.44
TRINITY_DN13582_c0_g1_i23	1.29	0	0	0	3.69	0
TRINITY_DN43300_c0_g2_i1	0	0	0	225	0	0
TRINITY_DN51694_c0_g1_i1	0	0	0	0	0	0
TRINITY_DN1526_c0_g1_i5	27.13	32.46	20.38	0	0	23.17
TRINITY_DN1526_c0_g1_i9	11.13	11.16	11.54	0	0	17.2
TRINITY_DN1526_c0_g1_i19	0	80.34	28.39	0	0	0
TRINITY_DN1526_c0_g1_i7	0	0	0	0	0	75.3
TRINITY_DN21936_c0_g1_i1	0	0	0	164.8	0	0
TRINITY_DN1526_c0_g1_i6	27.84	13.22	31.53	0	9.16	17.98
TRINITY_DN1526_c0_g1_i16	525.56	468.71	670.16	47	334.85	380.17
TRINITY_DN1526_c0_g1_i15	97.16	41.37	0	0	0	43.83
TRINITY_DN1526_c0_g1_i20	20.17	15.74	0	0	4.99	29.24
TRINITY_DN21936_c0_g1_i2	0	0	0	41.2	0	0
TRINITY_DN43300_c0_g1_i3	0	0	0	58	0	0
TRINITY_DN82698_c0_g1_i1	0	0	0	9	0	0
TRINITY_DN16031_c0_g1_i1	16	5.66	12.12	0	9	14
TRINITY_DN103795_c0_g1_i1	0	0	0	2	0	0
TRINITY_DN44160_c0_g1_i1	0	0	0	1	0	0
TRINITY_DN11349_c0_g1_i2	16	4	18	1	6	11
TRINITY_DN120805_c0_g1_i1	0	0	1	0	1	0
TRINITY_DN122191_c0_g1_i1	0	0	0	10	0	0
TRINITY_DN63680_c0_g1_i1	0	0	0	0	1	0
TRINITY_DN99279_c0_g1_i1	0	0	0	0	2	0
TRINITY_DN11380_c0_g1_i11	2.42	1.03	0	0	2	0
TRINITY_DN13611_c0_g1_i31	0	0	0	0	0	0
TRINITY_DN13611_c0_g1_i64	4	0	0	0	0	0
TRINITY_DN13611_c0_g1_i70	0	1	0	0	0	0
TRINITY_DN13611_c0_g1_i55	0	0	0	0	0	4
TRINITY_DN13611_c0_g1_i47	0	0	0	0	7	0
TRINITY_DN3567_c0_g2_i3	11.95	4.62	6.46	0	2.39	6.25
TRINITY_DN3567_c0_g2_i4	0	2.79	0	0	0	0.66
TRINITY_DN3567_c0_g2_i2	12.19	5.59	18.54	1	4.61	8.97
TRINITY_DN3567_c0_g2_i1	6.86	0	0	0	0	7.12
TRINITY_DN31594_c0_g1_i21	0	0	4.48	0	0	0
TRINITY_DN19988_c0_g1_i1	0	0	0	21	0	0
TRINITY_DN22309_c0_g1_i1	1	0	0	0	0	0
TRINITY_DN15911_c0_g1_i1	0	0	0	0	0	0
TRINITY_DN15911_c0_g1_i3	0	0	0	0	0.07	0
TRINITY_DN15911_c0_g1_i12	0	0	3.98	0	0	2.52
TRINITY_DN11451_c0_g1_i1	0	0	0	0	0	0
TRINITY_DN15911_c0_g1_i9	0	1.45	0	0	2.65	0
TRINITY_DN8847_c0_g1_i10	0	0	0	0	0	0
TRINITY_DN1366_c0_g2_i11	59.17	32.66	8.53	0	69.28	41.3
TRINITY_DN165_c1_g1_i18	1.81	0.84	56.39	0	0.16	0
TRINITY_DN6790_c0_g2_i6	1.95	5.84	0	0	0	0
