Contig	Mar_OO	Apr_OO	May_lateOO	May_EE	May_ME	Jun_Lar
TRINITY_DN705_c0_g4_i1	40960.0	23243.0	68905.0	2332.0	38554.0	28685.0
TRINITY_DN3007_c0_g1_i15	925.8	163.0	622.8	22.0	278.0	264.8
TRINITY_DN6118_c0_g1_i71	441.1	285.2	476.5	8.3	220.9	381.5
TRINITY_DN74_c0_g5_i1	195.0	144.0	357.6	13.0	138.0	257.0
TRINITY_DN7727_c0_g1_i26	114.5	128.1	351.6	13.3	160.2	68.8
TRINITY_DN12907_c0_g2_i4	2.0	76.0	277.0	16.0	49.8	4.0
TRINITY_DN93_c0_g1_i17	56.5	2.3	276.6	17.0	104.7	0.0
TRINITY_DN2943_c0_g1_i24	0.0	35.4	254.5	0.0	0.0	0.0
TRINITY_DN307_c1_g1_i23	191.7	0.0	181.0	0.0	84.7	0.0
TRINITY_DN1418_c0_g1_i22	0.0	46.9	154.1	7.9	38.2	21.5
TRINITY_DN7202_c0_g1_i19	63.7	37.7	145.8	0.0	55.0	48.0
TRINITY_DN5060_c0_g1_i23	155.0	91.0	139.0	9.0	45.0	64.7
TRINITY_DN4439_c0_g2_i1	49.1	46.7	134.0	6.0	41.5	29.3
TRINITY_DN7727_c0_g1_i99	134.2	0.0	124.3	0.0	0.0	74.8
TRINITY_DN1382_c0_g1_i1	81.0	58.0	121.0	5.0	60.0	84.0
TRINITY_DN1895_c0_g1_i152	0.0	0.0	118.3	0.0	0.0	0.0
TRINITY_DN1611_c0_g1_i23	11.9	90.8	105.1	0.0	46.3	25.5
TRINITY_DN18098_c0_g1_i6	0.0	0.0	87.3	22.8	13.4	4.0
TRINITY_DN5036_c0_g1_i20	53.9	17.6	77.7	4.2	23.0	38.8
TRINITY_DN1895_c0_g1_i94	28.0	51.7	74.2	0.0	64.0	18.8
TRINITY_DN1450_c0_g1_i7	9.9	60.4	70.0	0.0	41.5	0.0
TRINITY_DN3963_c0_g2_i1	2.0	0.0	59.0	6.0	5.0	4.0
TRINITY_DN3007_c0_g1_i2	0.0	0.0	53.2	0.0	8.0	38.1
TRINITY_DN3460_c0_g1_i5	0.0	0.0	45.9	0.0	0.0	0.0
TRINITY_DN5036_c0_g1_i10	14.4	19.3	44.3	0.0	20.0	5.6
TRINITY_DN2943_c0_g1_i11	159.5	0.0	43.9	0.0	41.5	9.3
TRINITY_DN12907_c0_g1_i1	1.0	13.0	43.0	0.0	11.0	0.0
TRINITY_DN13688_c0_g3_i3	0.0	0.0	43.0	11.0	7.0	0.0
TRINITY_DN4401_c0_g2_i2	6.0	3.0	42.8	3.0	11.0	0.0
TRINITY_DN2011_c0_g1_i4	25.3	4.4	41.4	1.5	0.0	14.4
TRINITY_DN182_c2_g1_i2	28.4	15.2	41.2	6.0	0.0	37.0
TRINITY_DN3460_c0_g1_i9	76.0	48.0	39.2	4.0	0.0	108.0
TRINITY_DN2011_c0_g1_i3	22.5	10.2	37.8	2.1	21.5	31.6
TRINITY_DN1066_c0_g2_i58	0.0	0.0	34.9	0.0	0.0	0.0
TRINITY_DN20125_c1_g2_i1	0.0	6.0	34.0	3.0	10.0	1.0
TRINITY_DN4_c0_g1_i76	32.1	29.2	33.6	0.8	25.0	65.5
TRINITY_DN60921_c0_g1_i1	0.0	0.0	33.0	12.0	16.0	2.0
TRINITY_DN3460_c0_g1_i31	0.0	0.0	32.6	0.0	68.7	0.0
TRINITY_DN18098_c0_g1_i10	5.0	0.0	31.4	12.2	1.7	0.0
TRINITY_DN4401_c0_g1_i3	5.0	5.0	31.0	1.0	5.0	2.0
TRINITY_DN24691_c0_g2_i1	0.0	1.0	31.0	6.0	6.0	0.0
TRINITY_DN4130_c0_g1_i25	20.0	110.3	30.5	0.0	16.9	104.6
TRINITY_DN5222_c0_g1_i2	24.0	25.0	30.0	1.0	11.0	13.0
TRINITY_DN4401_c0_g2_i1	0.0	6.0	29.2	0.0	0.0	2.0
TRINITY_DN30777_c0_g3_i6	9.0	10.0	29.0	6.0	2.0	2.0
TRINITY_DN5548_c0_g1_i1	1.0	7.0	29.0	2.0	17.0	1.0
TRINITY_DN1895_c0_g1_i133	24.6	0.0	28.8	0.0	56.7	18.7
TRINITY_DN22480_c1_g2_i1	0.0	0.5	25.4	3.0	9.0	0.5
TRINITY_DN356_c0_g1_i44	6.8	17.4	25.2	0.0	0.0	10.8
TRINITY_DN11626_c0_g1_i1	0.0	6.0	25.0	11.0	3.0	1.0
TRINITY_DN4_c0_g1_i24	17.9	7.3	24.8	0.0	5.9	12.6
TRINITY_DN3963_c0_g1_i1	9.0	2.0	23.5	3.0	4.0	0.0
TRINITY_DN7486_c0_g1_i1	85.0	132.0	23.0	0.0	19.0	173.0
TRINITY_DN94711_c0_g1_i1	1.0	3.0	23.0	1.0	4.0	0.0
TRINITY_DN15516_c0_g2_i2	2.0	1.0	22.7	5.0	4.0	3.0
TRINITY_DN1066_c0_g2_i51	11.4	4.7	22.1	0.0	16.1	26.1
TRINITY_DN75719_c0_g1_i1	1.0	3.0	22.0	0.0	4.0	0.0
TRINITY_DN33071_c0_g1_i1	0.0	0.0	22.0	5.0	2.0	1.0
TRINITY_DN3495_c0_g4_i1	25.0	16.0	21.0	1.0	1.0	17.0
TRINITY_DN27062_c0_g1_i1	1.0	1.0	21.0	3.0	5.0	2.0
TRINITY_DN4_c0_g1_i23	0.0	22.1	20.0	3.4	0.0	12.3
TRINITY_DN1895_c0_g1_i178	0.0	0.0	19.0	0.0	0.0	27.4
TRINITY_DN39814_c0_g2_i2	10.0	0.0	19.0	0.0	0.0	0.0
TRINITY_DN14967_c0_g1_i2	1.0	2.0	18.3	2.5	2.0	0.0
TRINITY_DN132965_c0_g1_i1	0.0	3.0	18.0	5.0	2.0	0.0
TRINITY_DN5036_c0_g1_i14	5.4	0.0	18.0	4.8	0.0	17.6
TRINITY_DN6241_c0_g1_i14	13.1	0.0	17.0	0.0	12.0	3.0
TRINITY_DN23320_c0_g1_i1	13.0	6.0	17.0	0.0	9.0	5.0
TRINITY_DN136602_c0_g1_i1	0.0	1.0	17.0	3.0	3.0	1.0
TRINITY_DN121982_c0_g1_i1	0.0	0.0	17.0	1.0	0.0	1.0
TRINITY_DN25453_c0_g2_i1	4.0	3.0	17.0	3.0	1.0	1.0
TRINITY_DN1611_c0_g1_i7	0.0	23.9	16.6	0.0	0.0	8.1
TRINITY_DN1611_c0_g1_i24	39.9	0.0	16.1	0.0	38.5	0.0
TRINITY_DN468_c0_g1_i7	118.9	60.1	16.0	0.0	13.4	93.8
TRINITY_DN18098_c1_g1_i1	0.0	1.0	16.0	5.0	2.0	0.0
TRINITY_DN4439_c0_g2_i5	17.7	8.0	15.4	0.0	4.7	17.7
TRINITY_DN9340_c0_g1_i1	16.0	17.1	15.0	0.0	6.0	27.8
TRINITY_DN18098_c1_g2_i2	2.0	2.0	15.0	0.0	5.0	0.0
TRINITY_DN16460_c0_g1_i6	14.0	7.3	15.0	1.5	0.0	0.0
TRINITY_DN13688_c0_g1_i6	0.0	0.0	15.0	0.0	0.0	1.0
TRINITY_DN468_c0_g1_i8	146.5	127.4	14.8	0.0	15.1	70.8
TRINITY_DN468_c0_g1_i6	260.5	115.0	14.5	0.0	12.2	188.0
TRINITY_DN35078_c1_g1_i1	3.0	1.3	14.4	2.0	1.2	0.0
TRINITY_DN22480_c1_g2_i2	0.0	0.0	13.6	0.0	0.0	0.0
TRINITY_DN24042_c0_g1_i32	17.5	0.5	13.4	0.0	9.6	0.0
TRINITY_DN118163_c0_g1_i1	2.0	3.0	13.0	1.0	2.0	0.0
TRINITY_DN1895_c0_g1_i200	49.3	42.2	12.2	0.0	0.0	32.7
TRINITY_DN1445_c3_g1_i11	6.0	9.0	12.0	0.0	3.0	16.0
TRINITY_DN1918_c0_g1_i3	74.0	20.3	12.0	0.0	7.0	46.0
TRINITY_DN105491_c0_g1_i1	0.0	0.0	12.0	1.0	3.0	2.0
TRINITY_DN18098_c0_g1_i2	0.0	1.0	12.0	7.0	4.0	1.0
TRINITY_DN1936_c1_g1_i2	0.0	0.0	11.6	1.5	2.0	1.0
TRINITY_DN3782_c0_g1_i2	0.0	0.0	11.4	0.0	0.0	0.0
TRINITY_DN1936_c1_g1_i1	2.0	0.0	11.4	1.5	1.0	0.0
TRINITY_DN12389_c0_g2_i2	3.0	1.0	11.0	0.0	0.0	0.0
TRINITY_DN25453_c1_g2_i1	0.0	1.0	11.0	0.0	2.0	1.0
TRINITY_DN89392_c0_g1_i1	0.0	2.0	11.0	9.0	1.0	1.0
TRINITY_DN975_c0_g1_i4	3.9	9.1	10.9	0.0	11.0	18.5
TRINITY_DN4439_c0_g2_i2	0.0	6.2	10.2	0.0	13.1	78.1
TRINITY_DN7727_c0_g1_i18	0.0	0.0	10.1	0.0	0.0	0.0
TRINITY_DN38738_c0_g1_i15	30.0	9.0	10.0	0.0	11.0	14.0
TRINITY_DN104355_c0_g1_i1	0.0	0.0	10.0	4.0	3.0	0.0
TRINITY_DN13688_c0_g1_i3	1.0	5.0	10.0	3.0	2.4	0.0
TRINITY_DN12907_c0_g2_i1	54.0	16.0	10.0	8.0	20.2	0.0
TRINITY_DN3460_c0_g1_i22	0.0	0.0	9.8	0.0	6.5	0.0
TRINITY_DN56875_c0_g1_i1	0.0	7.0	9.5	0.0	1.4	1.0
TRINITY_DN5036_c0_g1_i11	0.0	1.8	9.4	0.0	0.0	0.0
TRINITY_DN10818_c0_g1_i10	0.0	0.0	9.3	0.0	0.0	0.0
TRINITY_DN43270_c0_g2_i1	0.0	0.0	8.7	1.4	1.0	0.0
TRINITY_DN18098_c0_g1_i8	0.0	0.0	8.6	0.0	1.9	0.0
TRINITY_DN5036_c0_g1_i12	0.0	0.0	8.5	0.0	1.3	1.9
TRINITY_DN5921_c0_g1_i11	21.1	16.0	8.0	0.0	0.0	24.3
TRINITY_DN55230_c0_g1_i1	10.0	13.0	8.0	0.0	3.0	1.0
